id,name_en,name_ar,unit_base,per100g_calories,per100g_protein_g,per100g_carbs_g,per100g_fat_g,per100g_fiber_g,per100g_sodium_mg,source_type,source_ref,created_at,updated_at
0587fdea-4f40-4538-a2c7-d90652ce8e83,"Cheese, mozzarella, whole milk","Cheese, mozzarella, whole milk",g,298.000,23.700,4.433,20.400,0.000,699.000,usda_fdc,329370,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
06b59a02-224f-41f6-a1a2-63ebb8d2c979,"Lamb, Cooked Bone-in Shank ","Lamb, Cooked Bone-in Shank ",g,236.607,17.460,0.000,18.640,0.000,53.447,usda_fdc,2727570,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
19ef669f-075e-41aa-917a-debe89e1cf5e,Nuts,Nuts,g,625.733,21.467,20.067,51.067,10.800,0.000,usda_fdc,2346393,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
1adb30f5-d65c-4398-ae09-948878dca70d,"Chicken, breast, skinless, boneless, grilled","Chicken, breast, skinless, boneless, grilled",g,166.000,32.100,0.000,3.240,0.000,47.000,usda_fdc,331960,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
1eb8a8c1-9da3-4c9d-a4cb-dbdccd00a5bd,"Sauce, yogurt, cucumber (tzatziki)","Sauce, yogurt, cucumber (tzatziki)",g,50.000,4.230,8.080,0.090,0.000,51.480,usda_fdc,2647437,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
2fdb9f19-f8b5-4a42-88ed-cff0b45f00f9,"Broccoli, cooked, boiled, drained","Broccoli, cooked, boiled, drained",g,32.000,2.560,6.300,0.340,2.400,36.000,usda_fdc,321900,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
49c25215-30b7-421a-9de3-0803d6d662e0,"Sauce, tomato chili (daqqus)","Sauce, tomato chili (daqqus)",g,34.200,1.350,6.350,0.400,1.650,416.900,usda_fdc,2685579,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
8e264052-1f77-42ac-8fa3-326252db8e21,Mushrooms,Mushrooms,g,41.033,2.900,6.933,0.200,0.000,1.133,usda_fdc,1750345,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
adf0d353-7154-4349-8c79-534ada791068,Potatoes Mashed,Potatoes Mashed,g,73.473,1.813,15.960,0.267,0.000,2.240,usda_fdc,2346403,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
b00d1c2d-49e8-4f1d-8267-20a1d1ee93aa,"Eggplant, cooked","Eggplant, cooked",g,26.084,0.852,5.400,0.120,2.448,0.444,usda_fdc,2685577,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
b43a1907-c846-4538-b681-9c6724af24fd,"Yogurt, plain, whole milk (jameed sauce base)","Yogurt, plain, whole milk (jameed sauce base)",g,61.000,10.300,3.640,0.373,0.000,36.000,usda_fdc,330137,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
ca881a9d-8348-4277-916f-30255105dbf4,Salad,Salad,g,80.150,4.730,12.710,1.150,0.000,207.400,usda_fdc,2644291,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
cf49fea3-df65-4106-97b3-4a24c02697f7,Rice,Rice,g,359.000,6.940,79.800,1.300,0.500,5.000,usda_fdc,790214,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
d0b012cd-df3a-4e5f-be6a-8ef5512ccc75,"Dressing, vinaigrette","Dressing, vinaigrette",g,116.050,6.900,19.150,1.300,0.000,226.700,usda_fdc,2644293,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
d95e18cf-7126-4290-a830-f2ea1cd79f79,"Beef, steak, cooked","Beef, steak, cooked",g,176.000,27.700,0.000,6.361,0.000,54.000,usda_fdc,334897,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
dc0fba0e-7b8e-4d4c-8a03-ced932d942eb,"Beef, ground, 90% lean meat / 10% fat, cooked","Beef, ground, 90% lean meat / 10% fat, cooked",g,245.080,17.530,0.000,19.440,0.000,54.940,usda_fdc,2514744,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
f5b4aa4f-51aa-4aa6-abec-3904282163a0,"Carrots, cooked","Carrots, cooked",g,32.000,2.575,6.300,0.350,2.400,36.000,usda_fdc,326458,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
f9de97e5-56be-494f-a829-d1726c16ded7,"Salad, with corn","Salad, with corn",g,84.550,2.792,14.692,1.625,2.425,0.000,usda_fdc,2710826,2025-10-16 06:58:26.523126+00,2025-10-16 06:58:26.523126+00
